Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
58,"tensor(1.0259, device='cuda:0')","tensor(0.0071, device='cuda:0')","tensor(0.4492, device='cuda:0')","tensor(0.4751, device='cuda:0')",22.963193876175584,"tensor(0.6954, device='cuda:0')"
59,"tensor(1.0132, device='cuda:0')","tensor(0.0084, device='cuda:0')","tensor(0.4597, device='cuda:0')","tensor(0.4729, device='cuda:0')",22.789208084648465,"tensor(0.6868, device='cuda:0')"
60,"tensor(0.9988, device='cuda:0')","tensor(0.0074, device='cuda:0')","tensor(0.4996, device='cuda:0')","tensor(0.4984, device='cuda:0')",23.152106718233995,"tensor(0.6987, device='cuda:0')"
61,"tensor(1.0174, device='cuda:0')","tensor(0.0066, device='cuda:0')","tensor(0.4770, device='cuda:0')","tensor(0.4944, device='cuda:0')",23.321605073925117,"tensor(0.7007, device='cuda:0')"
62,"tensor(1.0041, device='cuda:0')","tensor(0.0075, device='cuda:0')","tensor(0.5237, device='cuda:0')","tensor(0.5279, device='cuda:0')",22.03236808624827,"tensor(0.6971, device='cuda:0')"
63,"tensor(1.0323, device='cuda:0')","tensor(0.0071, device='cuda:0')","tensor(0.5794, device='cuda:0')","tensor(0.6117, device='cuda:0')",22.32380931894071,"tensor(0.6977, device='cuda:0')"
64,"tensor(1.0145, device='cuda:0')","tensor(0.0069, device='cuda:0')","tensor(0.6245, device='cuda:0')","tensor(0.6390, device='cuda:0')",22.603280463196658,"tensor(0.6987, device='cuda:0')"
65,"tensor(1.0030, device='cuda:0')","tensor(0.0070, device='cuda:0')","tensor(0.6876, device='cuda:0')","tensor(0.6906, device='cuda:0')",21.95440598405917,"tensor(0.6997, device='cuda:0')"
66,"tensor(0.9918, device='cuda:0')","tensor(0.0070, device='cuda:0')","tensor(0.7045, device='cuda:0')","tensor(0.6962, device='cuda:0')",21.91007277857906,"tensor(0.7121, device='cuda:0')"
67,"tensor(1.0051, device='cuda:0')","tensor(0.0084, device='cuda:0')","tensor(0.6420, device='cuda:0')","tensor(0.6471, device='cuda:0')",21.094143543403344,"tensor(0.7039, device='cuda:0')"
68,"tensor(0.9818, device='cuda:0')","tensor(0.0064, device='cuda:0')","tensor(0.6237, device='cuda:0')","tensor(0.6054, device='cuda:0')",22.735003813978242,"tensor(0.7081, device='cuda:0')"
69,"tensor(0.9870, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(0.6637, device='cuda:0')","tensor(0.6506, device='cuda:0')",21.414367588246254,"tensor(0.7006, device='cuda:0')"
70,"tensor(0.9909, device='cuda:0')","tensor(0.0069, device='cuda:0')","tensor(0.6341, device='cuda:0')","tensor(0.6250, device='cuda:0')",22.9705783515874,"tensor(0.7116, device='cuda:0')"
71,"tensor(0.9823, device='cuda:0')","tensor(0.0066, device='cuda:0')","tensor(0.6007, device='cuda:0')","tensor(0.5830, device='cuda:0')",23.324390147177716,"tensor(0.7160, device='cuda:0')"
72,"tensor(0.9889, device='cuda:0')","tensor(0.0077, device='cuda:0')","tensor(0.6181, device='cuda:0')","tensor(0.6069, device='cuda:0')",21.60242180621922,"tensor(0.7138, device='cuda:0')"
73,"tensor(0.9970, device='cuda:0')","tensor(0.0063, device='cuda:0')","tensor(0.5440, device='cuda:0')","tensor(0.5409, device='cuda:0')",23.17278304935136,"tensor(0.7208, device='cuda:0')"
74,"tensor(0.9971, device='cuda:0')","tensor(0.0063, device='cuda:0')","tensor(0.6000, device='cuda:0')","tensor(0.5972, device='cuda:0')",23.476350689356387,"tensor(0.7234, device='cuda:0')"
75,"tensor(0.9951, device='cuda:0')","tensor(0.0065, device='cuda:0')","tensor(0.5976, device='cuda:0')","tensor(0.5927, device='cuda:0')",23.181043045444166,"tensor(0.7282, device='cuda:0')"
76,"tensor(0.9891, device='cuda:0')","tensor(0.0072, device='cuda:0')","tensor(0.6064, device='cuda:0')","tensor(0.5956, device='cuda:0')",23.129493711562326,"tensor(0.7311, device='cuda:0')"
77,"tensor(1.0008, device='cuda:0')","tensor(0.0051, device='cuda:0')","tensor(0.5547, device='cuda:0')","tensor(0.5555, device='cuda:0')",22.498868127735456,"tensor(0.7263, device='cuda:0')"
78,"tensor(1.0047, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(0.5373, device='cuda:0')","tensor(0.5420, device='cuda:0')",23.764491633764692,"tensor(0.7362, device='cuda:0')"
79,"tensor(1.0062, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.5422, device='cuda:0')","tensor(0.5484, device='cuda:0')",23.541744969471203,"tensor(0.7321, device='cuda:0')"
80,"tensor(1.0000, device='cuda:0')","tensor(0.0067, device='cuda:0')","tensor(0.5634, device='cuda:0')","tensor(0.5634, device='cuda:0')",24.07450839877017,"tensor(0.7387, device='cuda:0')"
81,"tensor(0.9864, device='cuda:0')","tensor(0.0059, device='cuda:0')","tensor(0.5495, device='cuda:0')","tensor(0.5359, device='cuda:0')",23.849100919679145,"tensor(0.7397, device='cuda:0')"
82,"tensor(0.9883, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.5833, device='cuda:0')","tensor(0.5716, device='cuda:0')",23.820715659573363,"tensor(0.7339, device='cuda:0')"
83,"tensor(1.0132, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.5435, device='cuda:0')","tensor(0.5568, device='cuda:0')",23.545252002138987,"tensor(0.7262, device='cuda:0')"
84,"tensor(0.9859, device='cuda:0')","tensor(0.0066, device='cuda:0')","tensor(0.5811, device='cuda:0')","tensor(0.5670, device='cuda:0')",22.990953701549174,"tensor(0.7311, device='cuda:0')"
85,"tensor(0.9941, device='cuda:0')","tensor(0.0076, device='cuda:0')","tensor(0.5456, device='cuda:0')","tensor(0.5398, device='cuda:0')",23.279395845654957,"tensor(0.7339, device='cuda:0')"
86,"tensor(0.9969, device='cuda:0')","tensor(0.0064, device='cuda:0')","tensor(0.5538, device='cuda:0')","tensor(0.5507, device='cuda:0')",21.173862631420313,"tensor(0.7247, device='cuda:0')"
87,"tensor(1.0032, device='cuda:0')","tensor(0.0058, device='cuda:0')","tensor(0.5116, device='cuda:0')","tensor(0.5148, device='cuda:0')",23.23231857241616,"tensor(0.7249, device='cuda:0')"
88,"tensor(0.9918, device='cuda:0')","tensor(0.0058, device='cuda:0')","tensor(0.5146, device='cuda:0')","tensor(0.5064, device='cuda:0')",23.911488902535105,"tensor(0.7324, device='cuda:0')"
89,"tensor(1.0151, device='cuda:0')","tensor(0.0061, device='cuda:0')","tensor(0.4940, device='cuda:0')","tensor(0.5091, device='cuda:0')",23.036720694258115,"tensor(0.7363, device='cuda:0')"
90,"tensor(0.9968, device='cuda:0')","tensor(0.0072, device='cuda:0')","tensor(0.5274, device='cuda:0')","tensor(0.5243, device='cuda:0')",23.700216259599284,"tensor(0.7435, device='cuda:0')"
91,"tensor(1.0164, device='cuda:0')","tensor(0.0070, device='cuda:0')","tensor(0.4892, device='cuda:0')","tensor(0.5056, device='cuda:0')",21.116753542047736,"tensor(0.7292, device='cuda:0')"
92,"tensor(0.9899, device='cuda:0')","tensor(0.0059, device='cuda:0')","tensor(0.4977, device='cuda:0')","tensor(0.4876, device='cuda:0')",24.063748425930108,"tensor(0.7481, device='cuda:0')"
93,"tensor(1.0014, device='cuda:0')","tensor(0.0059, device='cuda:0')","tensor(0.5248, device='cuda:0')","tensor(0.5261, device='cuda:0')",24.042517592639037,"tensor(0.7441, device='cuda:0')"
94,"tensor(0.9984, device='cuda:0')","tensor(0.0059, device='cuda:0')","tensor(0.5320, device='cuda:0')","tensor(0.5304, device='cuda:0')",21.57176193381239,"tensor(0.7407, device='cuda:0')"
95,"tensor(1.0030, device='cuda:0')","tensor(0.0058, device='cuda:0')","tensor(0.5146, device='cuda:0')","tensor(0.5176, device='cuda:0')",24.121463974853707,"tensor(0.7469, device='cuda:0')"
96,"tensor(1.0052, device='cuda:0')","tensor(0.0059, device='cuda:0')","tensor(0.5354, device='cuda:0')","tensor(0.5406, device='cuda:0')",23.95836104708465,"tensor(0.7505, device='cuda:0')"
97,"tensor(0.9902, device='cuda:0')","tensor(0.0057, device='cuda:0')","tensor(0.5421, device='cuda:0')","tensor(0.5324, device='cuda:0')",24.122611590817677,"tensor(0.7510, device='cuda:0')"
98,"tensor(1.0084, device='cuda:0')","tensor(0.0061, device='cuda:0')","tensor(0.5155, device='cuda:0')","tensor(0.5239, device='cuda:0')",23.68319889975907,"tensor(0.7474, device='cuda:0')"
99,"tensor(0.9956, device='cuda:0')","tensor(0.0056, device='cuda:0')","tensor(0.5191, device='cuda:0')","tensor(0.5147, device='cuda:0')",23.77262012648723,"tensor(0.7513, device='cuda:0')"
100,"tensor(0.9857, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.4984, device='cuda:0')","tensor(0.4842, device='cuda:0')",23.12084752105592,"tensor(0.7475, device='cuda:0')"
